Anime_id,Title,Producer,Studio
1,Cowboy Bebop,['Bandai Visual'],['Sunrise']
5,Cowboy Bebop: Tengoku no Tobira,"['Sunrise', 'Bandai Visual']",['Bones']
6,Trigun,['Victor Entertainment'],['Madhouse']
7,Witch Hunter Robin,['Bandai Visual'],['Sunrise']
8,Bouken Ou Beet,,['Toei Animation']
15,Eyeshield 21,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Studio Gallop']
16,Hachimitsu to Clover,"['Genco', 'Fuji TV', 'Shueisha']",['J.C.Staff']
17,Hungry Heart: Wild Striker,,['Nippon Animation']
18,Initial D Fourth Stage,"['OB Planning', 'Studio Jack']",['A.C.G.T.']
19,Monster,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Madhouse']
20,Naruto,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Studio Pierrot']
21,One Piece,"['Fuji TV', 'TAP', 'Shueisha']",['Toei Animation']
22,Tennis no Ouji-sama,"['Production I.G', 'Nihon Ad Systems']",['Trans Arts']
23,Ring ni Kakero 1,,['Toei Animation']
24,School Rumble,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet']
25,Sunabouzu,"['GDH', 'Pony Canyon', 'CBC']",['Gonzo']
26,Texhnolyze,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse']
26,Texhnolyze,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse']
27,Trinity Blood,,['Gonzo']
28,Yakitate!! Japan,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise']
29,Zipang,"['Marvelous', 'TBS']",['Studio Deen']
30,Neon Genesis Evangelion,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']"
31,Neon Genesis Evangelion: Death & Rebirth,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']"
32,Neon Genesis Evangelion: The End of Evangelion,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']"
33,Kenpuu Denki Berserk,"['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM']
43,Koukaku Kidoutai,"['Bandai Visual', 'Kodansha']",['Production I.G']
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,['Aniplex'],['Studio Deen']
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop']
47,Akira,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha']
48,.hack//Sign,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train']
49,Aa! Megami-sama!,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC']
50,Aa! Megami-sama! (TV),"['Bandai Visual', 'TBS']",['AIC']
51,Tenshi Kinryouku,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker']
52,Kidou Tenshi Angelic Layer,['TV Tokyo Music'],['Bones']
53,Ai Yori Aoshi,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']",['J.C.Staff']
54,Appleseed (Movie),"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']",['Digital Frontier']
55,Arc the Lad,"['Sony Pictures Entertainment', 'Aniplex']",['Bee Train']
56,Avenger,['Production I.G'],"['Bee Train', 'Xebec']"
57,Beck,"['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Madhouse']
58,Blue Gender,"['Youmex', 'Toshiba EMI']",['AIC']
